mepid,result,eugroup,identifier
257068,attended,EPP,176184
257070,attended,ESN,176184
257071,attended,S&D,176184
257072,attended,Patriots,176184
257073,attended,ECR,176184
257075,attended,S&D,176184
257076,attended,ECR,176184
257077,attended,ECR,176184
257078,attended,EPP,176184
257079,attended,S&D,176184
257081,attended,EPP,176184
257082,attended,EPP,176184
257083,attended,GUE/NGL,176184
257084,attended,S&D,176184
257085,attended,S&D,176184
257086,attended,ECR,176184
257087,attended,S&D,176184
257088,attended,S&D,176184
257089,attended,EPP,176184
257090,attended,ECR,176184
257091,attended,ECR,176184
257092,attended,GUE/NGL,176184
257094,attended,ECR,176184
257096,attended,ECR,176184
257097,attended,ECR,176184
257098,attended,S&D,176184
257099,attended,ECR,176184
257100,attended,S&D,176184
257101,attended,S&D,176184
257102,attended,S&D,176184
257103,attended,S&D,176184
257104,attended,ECR,176184
257106,attended,S&D,176184
257107,attended,EPP,176184
257108,attended,S&D,176184
257109,attended,ECR,176184
257110,attended,Renew,176184
257112,attended,Renew,176184
257113,attended,ECR,176184
257114,attended,ECR,176184
257115,attended,ECR,176184
257116,attended,ECR,176184
257117,attended,ECR,176184
257119,attended,ECR,176184
257120,attended,NA,176184
257121,attended,S&D,176184
257122,attended,S&D,176184
257124,attended,S&D,176184
257125,attended,Patriots,176184
257127,attended,GUE/NGL,176184
257128,attended,EPP,176184
257129,attended,GUE/NGL,176184
257130,attended,Greens/EFA,176184
257132,attended,Greens/EFA,176184
257133,attended,GUE/NGL,176184
257135,attended,GUE/NGL,176184
257137,attended,EPP,176184
257138,attended,GUE/NGL,176184
257139,attended,Greens/EFA,176184
257140,attended,GUE/NGL,176184
257143,attended,ECR,176184
257144,attended,ECR,176184
257145,attended,ECR,176184
257147,attended,ECR,176184
257148,attended,S&D,176184
257149,attended,ECR,176184
257150,attended,ECR,176184
257151,attended,EPP,176184
257155,attended,GUE/NGL,176184
257160,attended,S&D,176184
257163,attended,ECR,176184
257169,attended,S&D,176184
257170,attended,S&D,176184
257237,attended,EPP,176184
257238,attended,S&D,176184
257255,attended,ESN,176184
257256,attended,NA,176184
257257,attended,Renew,176184
257258,attended,ECR,176184
257259,attended,Renew,176184
257260,attended,ESN,176184
257261,attended,EPP,176184
257262,attended,ESN,176184
257296,attended,EPP,176184
257297,attended,Renew,176184
257298,attended,Renew,176184
257299,attended,GUE/NGL,176184
257300,attended,Renew,176184
257301,attended,Renew,176184
257437,attended,Greens/EFA,176184
257438,attended,Renew,176184
257457,attended,ESN,176184
257727,attended,S&D,176184
260724,attended,Patriots,176184
261038,attended,Patriots,176184
261796,attended,Patriots,176184
261797,attended,Patriots,176184
262021,attended,EPP,176184
267485,attended,ESN,176184
