mepid,name,result,eugroup,identifier
6344,Zdechovský,for,PPE,116669
7012,Zoido Álvarez,for,PPE,116669
6734,Zovko,for,PPE,116669
6094,Zver,for,PPE,116669
7230,Alieva-Veli,for,Renew,116669
6799,Al-Sahlani,for,Renew,116669
7260,Andrews,for,Renew,116669
6327,Ansip,for,Renew,116669
7053,Armand,for,Renew,116669
6400,Auštrevičius,for,Renew,116669
7165,Azmani,for,Renew,116669
7163,Bauzá Díaz,for,Renew,116669
6835,Beer,for,Renew,116669
6944,Bijoux,for,Renew,116669
6089,Bilbao Barandica,for,Renew,116669
7057,Botoş,for,Renew,116669
6967,Boyer,for,Renew,116669
6966,Brunet,for,Renew,116669
6973,Cañas,for,Renew,116669
5891,Canfin,for,Renew,116669
6899,Chabaud,for,Renew,116669
6339,Charanzová,for,Renew,116669
6860,Chastel,for,Renew,116669
6951,Christensen,for,Renew,116669
7271,Cicurel,for,Renew,116669
7021,Cioloş,for,Renew,116669
6978,Cseh,for,Renew,116669
6458,Danti,for,Renew,116669
6898,Decerle,for,Renew,116669
6340,Dlabajová,for,Renew,116669
6987,Donáth,for,Renew,116669
6324,Durand,for,Renew,116669
6828,Eroglu,for,Renew,116669
6980,Farreng,for,Renew,116669
6601,Federley,for,Renew,116669
6818,Flego,for,Renew,116669
6948,Gade,for,Renew,116669
7022,Gamon,for,Renew,116669
6947,Garicano,for,Renew,116669
7050,Ghinea,for,Renew,116669
6840,Glück,for,Renew,116669
1793,Goerens,for,Renew,116669
7273,Gozi,for,Renew,116669
7164,Groothuis,for,Renew,116669
6849,Grošelj,for,Renew,116669
6950,Grudler,for,Renew,116669
6936,Guetta,for,Renew,116669
6841,Hahn Svenja,for,Renew,116669
6959,Hayer,for,Renew,116669
6919,Hlaváček,for,Renew,116669
7154,Hojsík,for,Renew,116669
6622,Huitema,for,Renew,116669
7014,Ijabs,for,Renew,116669
5385,in  't Veld,for,Renew,116669
6844,Joveva,for,Renew,116669
6975,Karleskind,for,Renew,116669
6800,Karlsbro,for,Renew,116669
6766,Katainen,for,Renew,116669
7203,Kelleher,for,Renew,116669
5021,Keller Fabienne,for,Renew,116669
6921,Knotek,for,Renew,116669
6842,Körner,for,Renew,116669
6917,Kovařík,for,Renew,116669
6504,Kyuchyuk,for,Renew,116669
6887,Loiseau,for,Renew,116669
5889,Løkkegaard,for,Renew,116669
6915,Maxová,for,Renew,116669
6957,Melchior,for,Renew,116669
6690,Mihaylova,for,Renew,116669
6500,Müller,for,Renew,116669
6760,Nagtegaal,for,Renew,116669
6614,Nart,for,Renew,116669
6830,Oetjen,for,Renew,116669
6705,Paet,for,Renew,116669
6644,Pagazaurtundúa,for,Renew,116669
6953,Pekkarinen,for,Renew,116669
6510,Petersen,for,Renew,116669
7052,Pîslaru,for,Renew,116669
7235,Rafaela,for,Renew,116669
4676,Ries,for,Renew,116669
6056,Riquet,for,Renew,116669
4767,Rodríguez Ramos,for,Renew,116669
7236,Schreinemacher,for,Renew,116669
6902,Séjourné,for,Renew,116669
6817,Semedo,for,Renew,116669
7152,Šimečka,for,Renew,116669
7168,Solís Pérez,for,Renew,116669
7055,Ştefănuță,for,Renew,116669
7058,Strugariu,for,Renew,116669
7259,Søgaard-Lidell,for,Renew,116669
6940,Tolleret,for,Renew,116669
6331,Toom,for,Renew,116669
6281,Torvalds,for,Renew,116669
6985,Trillet-Lenoir,for,Renew,116669
7054,Tudorache,for,Renew,116669
6710,Vautmans,for,Renew,116669
6896,Vedrenne,for,Renew,116669
6159,Verhofstadt,for,Renew,116669
7268,Vázquez Lázara,for,Renew,116669
6971,Yon-Courtin,for,Renew,116669
6892,Zacharopoulou,for,Renew,116669
6802,Agius Saliba,for,S&D,116669
6651,Aguilera,for,S&D,116669
7167,Ameriks,for,S&D,116669
6279,Andrieu,for,S&D,116669
6687,Androulakis,for,S&D,116669
7254,Angel,for,S&D,116669
6977,Ara-Kovács,for,S&D,116669
6553,Arena,for,S&D,116669
7040,Avram,for,S&D,116669
6888,Balt,for,S&D,116669
6831,Barley,for,S&D,116669
7193,Bartolo,for,S&D,116669
7047,Benea,for,S&D,116669
6505,Benifei,for,S&D,116669
5173,Beňová,for,S&D,116669
6796,Bergkvist,for,S&D,116669
6891,Biedroń,for,S&D,116669
6833,Bischoff,for,S&D,116669
5867,Blinkevičiūtė,for,S&D,116669
6449,Bonafè,for,S&D,116669
6264,Borzan,for,S&D,116669
6843,Brglez,for,S&D,116669
4690,Bullmann,for,S&D,116669
6838,Burkhardt,for,S&D,116669
7008,Calenda,for,S&D,116669
7252,Carvalhais,for,S&D,116669
7030,Cerdas,for,S&D,116669
7166,Chahim,for,S&D,116669
6499,Chinnici,for,S&D,116669
6901,Cimoszewicz,for,S&D,116669
7046,Ciuhodaru,for,S&D,116669
7145,Číž,for,S&D,116669
6051,Cozzolino,for,S&D,116669
5661,Crețu,for,S&D,116669
6794,Cutajar,for,S&D,116669
6589,Dalli,for,S&D,116669
6806,Danielsson,for,S&D,116669
6062,De Castro,for,S&D,116669
6969,Dobrev,for,S&D,116669
7248,Durá Ferrandis,for,S&D,116669
6014,Ertug,for,S&D,116669
6080,Fajon,for,S&D,116669
6652,Fernández,for,S&D,116669
6770,Ferrandino,for,S&D,116669
6791,Fritzon,for,S&D,116669
6955,Fuglsang,for,S&D,116669
7090,Gálvez Muñoz,for,S&D,116669
7105,García Del Blanco,for,S&D,116669
7125,García Muñoz,for,S&D,116669
5417,García Pérez,for,S&D,116669
6130,Gardiazabal Rubial,for,S&D,116669
3827,Gebhardt,for,S&D,116669
6005,Geier,for,S&D,116669
7082,Glucksmann,for,S&D,116669
7111,González,for,S&D,116669
7106,González Casares,for,S&D,116669
6419,Grapini,for,S&D,116669
7009,Gualmini,for,S&D,116669
6107,Guillaume,for,S&D,116669
6603,Guteland,for,S&D,116669
7146,Hajšel,for,S&D,116669
7070,Heide,for,S&D,116669
7185,Heinäluoma,for,S&D,116669
7122,Homs Ginel,for,S&D,116669
7229,Hristov,for,S&D,116669
6792,Incir,for,S&D,116669
6263,Jerković,for,S&D,116669
6624,Jongerius,for,S&D,116669
6686,Kaili,for,S&D,116669
6884,Kaljurand,for,S&D,116669
6009,Kammerevert,for,S&D,116669
6916,Kohut,for,S&D,116669
6459,Köster,for,S&D,116669
3761,Krehl,for,S&D,116669
6367,Kumpula-Natri,for,S&D,116669
7085,Lalucq,for,S&D,116669
3823,Lange,for,S&D,116669
7086,Larrouturou,for,S&D,116669
7024,Leitão-Marques,for,S&D,116669
5094,Liberadzki,for,S&D,116669
6648,López,for,S&D,116669
5984,López Aguilar,for,S&D,116669
7109,Luena,for,S&D,116669
7107,Maestre Martín De Almagro,for,S&D,116669
6984,Majorino,for,S&D,116669
7117,Maldonado López,for,S&D,116669
7027,Marques Margarida,for,S&D,116669
7023,Marques Pedro,for,S&D,116669
6839,Matić,for,S&D,116669
6322,Mavrides,for,S&D,116669
7272,Mebarek,for,S&D,116669
6890,Mikser,for,S&D,116669
6933,Miller,for,S&D,116669
6351,Molnár,for,S&D,116669
5466,Moreno Sánchez,for,S&D,116669
6433,Moretti,for,S&D,116669
6691,Negrescu,for,S&D,116669
6016,Neuser,for,S&D,116669
6418,Nica,for,S&D,116669
6473,Noichl,for,S&D,116669
7221,Olekas,for,S&D,116669
6323,Papadakis Demetris,for,S&D,116669
7228,Penkova,for,S&D,116669
6484,Picierno,for,S&D,116669
6261,Picula,for,S&D,116669
6625,Piri,for,S&D,116669
6982,Pisapia,for,S&D,116669
7114,Pizarro,for,S&D,116669
5731,Plumb,for,S&D,116669
6136,Regner,for,S&D,116669
7186,Roberti,for,S&D,116669
6649,Rodríguez-Piñero,for,S&D,116669
6974,Rónai,for,S&D,116669
7269,Ros Sempere,for,S&D,116669
7128,Ruiz Devesa,for,S&D,116669
7110,Sánchez Amor,for,S&D,116669
7039,Santos,for,S&D,116669
5713,Schaldemose,for,S&D,116669
7059,Schieder,for,S&D,116669
6475,Schuster,for,S&D,116669
7065,Sidl,for,S&D,116669
6381,Silva Pereira,for,S&D,116669
6093,Sippel,for,S&D,116669
7176,Smeriglio,for,S&D,116669
6943,Spurek,for,Verts/ALE,116669
6490,Stanishev,for,S&D,116669
6623,Tang,for,S&D,116669
5624,Tarabella,for,S&D,116669
7140,Tax,for,S&D,116669
6983,Tinagli,for,S&D,116669
5459,Toia,for,S&D,116669
7247,Tudose,for,S&D,116669
6336,Ujhelyi,for,S&D,116669
7195,Ušakovs,for,S&D,116669
4990,Van Brempt,for,S&D,116669
7251,Vind,for,S&D,116669
7227,Vitanov,for,S&D,116669
7066,Vollath,for,S&D,116669
6735,Wölken,for,S&D,116669
7249,Wolters,for,S&D,116669
7225,Yoncheva,for,S&D,116669
6373,Zorrinho,for,S&D,116669
7263,Alametsä,for,Verts/ALE,116669
5924,Alfonsi,for,Verts/ALE,116669
6845,Andresen,for,Verts/ALE,116669
5291,Auken,for,Verts/ALE,116669
6905,Biteau,for,Verts/ALE,116669
6846,Bloss,for,Verts/ALE,116669
6837,Boeselager,for,Verts/ALE,116669
6829,Breyer,for,Verts/ALE,116669
6867,Bricmont,for,Verts/ALE,116669
5913,Bütikofer,for,Verts/ALE,116669
6964,Carême,for,Verts/ALE,116669
6847,Cavazzini,for,Verts/ALE,116669
6897,Cormand,for,Verts/ALE,116669
7043,Cuffe,for,Verts/ALE,116669
6730,Dalunde,for,Verts/ALE,116669
6924,Delbos-Corfield,for,Verts/ALE,116669
6040,Delli,for,Verts/ALE,116669
6850,Deparnay-Grunenberg,for,Verts/ALE,116669
6868,De Sutter,for,Verts/ALE,116669
5899,Eickhout,for,Verts/ALE,116669
6775,Franz,for,Verts/ALE,116669
6851,Freund,for,Verts/ALE,116669
6853,Geese,for,Verts/ALE,116669
5904,Giegold,for,Verts/ALE,116669
6942,Gregorová,for,Verts/ALE,116669
7274,Gruffat,for,Verts/ALE,116669
7034,Guerreiro,for,Verts/ALE,116669
6854,Hahn Henrike,for,Verts/ALE,116669
4535,Hautala,for,Verts/ALE,116669
6856,Herzberger-Fofana,for,Verts/ALE,116669
6797,Holmgren,for,Verts/ALE,116669
5914,Jadot,for,Verts/ALE,116669
7220,Jakeliūnas,for,Verts/ALE,116669
5908,Keller Ska,for,Verts/ALE,116669
6939,Kolaja,for,Verts/ALE,116669
6795,Kuhnke,for,Verts/ALE,116669
6857,Lagodinsky,for,Verts/ALE,116669
5838,Lamberts,for,Verts/ALE,116669
6858,Langensiepen,for,Verts/ALE,116669
6859,Marquardt,for,Verts/ALE,116669
6776,Metz,for,Verts/ALE,116669
6861,Neumann,for,Verts/ALE,116669
6862,Nienaß,for,Verts/ALE,116669
7187,Niinistö,for,Verts/ALE,116669
7240,O'Sullivan,for,Verts/ALE,116669
6863,Paulus,for,Verts/ALE,116669
6932,Peksa,for,Verts/ALE,116669
6963,Peter-Hansen,for,Verts/ALE,116669
6529,Reintke,for,Verts/ALE,116669
7217,Riba i Giner,for,Verts/ALE,116669
7280,Ripa,for,Verts/ALE,116669
5917,Rivasi,for,Verts/ALE,116669
6900,Roose,for,Verts/ALE,116669
6694,Ropė,for,Verts/ALE,116669
6893,Satouri,for,Verts/ALE,116669
6822,Semsrott,for,Verts/ALE,116669
6738,Solé,for,Verts/ALE,116669
7156,Strik,for,Verts/ALE,116669
6894,Toussaint,for,Verts/ALE,116669
6591,Urtasun,for,Verts/ALE,116669
6551,Vana,for,Verts/ALE,116669
7237,Van Sparrentak,for,Verts/ALE,116669
6848,Von Cramon-Taubadel,for,Verts/ALE,116669
6757,Waitz,for,Verts/ALE,116669
7064,Wiener,for,Verts/ALE,116669
6904,Yenbou,for,Verts/ALE,116669
5602,Ždanoka,for,Verts/ALE,116669
7244,Aguilar,against,ECR,116669
7214,Buxadé Villalba,against,ECR,116669
7270,de la Pisa Carrión,against,ECR,116669
6511,Dzhambazki,against,ECR,116669
6167,Eppink,against,ECR,116669
7250,Fragkos,against,ECR,116669
7160,Rooken,against,ECR,116669
7097,Roos,against,ECR,116669
7231,Slabakov,against,ECR,116669
7216,Tertsch,against,ECR,116669
6593,Annemans,against,ID,116669
6954,Blaško,against,ID,116669
6869,De Man,against,ID,116669
6630,de Graaff,against,ID,116669
7234,Vandendriessche,against,ID,116669
7119,Lagos,against,NI,116669
7148,Radačovský,against,NI,116669
7278,Rookmaker,against,NI,116669
7147,Uhrík,against,NI,116669
4978,Berlato,abstention,ECR,116669
5982,Fidanza,abstention,ECR,116669
6998,Fiocchi,abstention,ECR,116669
4880,Fitto,abstention,ECR,116669
6608,Lundgren,abstention,ECR,116669
7205,Procaccini,abstention,ECR,116669
7210,Stancanelli,abstention,ECR,116669
6798,Stegrud,abstention,ECR,116669
6808,Weimers,abstention,ECR,116669
7072,Barrena Arza,abstention,GUE/NGL,116669
6872,Anderson,abstention,ID,116669
7079,Androuët,abstention,ID,116669
6988,Bardella,abstention,ID,116669
6394,Bay,abstention,ID,116669
6874,Beck,abstention,ID,116669
7068,Beigneux,abstention,ID,116669
6875,Berg,abstention,ID,116669
6405,Bilde,abstention,ID,116669
7076,Bruna,abstention,ID,116669
6876,Buchheit,abstention,ID,116669
7071,Collard,abstention,ID,116669
6877,Fest,abstention,ID,116669
7018,Garraud,abstention,ID,116669
7019,Griset,abstention,ID,116669
7246,Haider,abstention,ID,116669
6989,Hakkarainen,abstention,ID,116669
6986,Huhtasaari,abstention,ID,116669
6404,Jalkh,abstention,ID,116669
6751,Jamet,abstention,ID,116669
7017,Joron,abstention,ID,116669
7016,Juvin,abstention,ID,116669
6960,Kofod,abstention,ID,116669
6878,Krah,abstention,ID,116669
6879,Kuhs,abstention,ID,116669
7275,Lacapelle,abstention,ID,116669
6990,Laporte,abstention,ID,116669
6372,Lebreton,abstention,ID,116669
7074,Lechanteux,abstention,ID,116669
6880,Limmer,abstention,ID,116669
6886,Madison,abstention,ID,116669
7013,Mariani,abstention,ID,116669
6627,Mayer,abstention,ID,116669
6399,Mélin,abstention,ID,116669
6759,Meuthen,abstention,ID,116669
7075,Olivier,abstention,ID,116669
7020,Pirbakas,abstention,ID,116669
6881,Reil,abstention,ID,116669
7006,Rivière,abstention,ID,116669
7078,Rougé,abstention,ID,116669
6610,Vilimsky,abstention,ID,116669
6882,Zimniok,abstention,ID,116669
6836,Kolakušić,abstention,NI,116669
7123,Konstantinou,abstention,NI,116669
7242,Sinčić,abstention,NI,116669
6488,Radev,abstention,PPE,116669
6547,Štefanec,abstention,PPE,116669
5879,Uspaskich,abstention,Renew,116669
6415,Sant,abstention,S&D,116669
