mepid,mep,result,group,identifier
6092,Ponga,for,PPE,2017-07-05_7.
6700,Pospíšil,for,PPE,2017-07-05_7.
6010,Preda,for,PPE,2017-07-05_7.
1487,Quisthoudt-Rowohl,for,PPE,2017-07-05_7.
6488,Radev,for,PPE,2017-07-05_7.
6072,Rangel,for,PPE,2017-07-05_7.
6365,Ribeiro,for,PPE,2017-07-05_7.
6684,Rolin,for,PPE,2017-07-05_7.
5512,Rosati,for,PPE,2017-07-05_7.
6362,Ruas,for,PPE,2017-07-05_7.
4596,Rübig,for,PPE,2017-07-05_7.
4768,Saïfi,for,PPE,2017-07-05_7.
3991,Salafranca Sánchez-Neyra,for,PPE,2017-07-05_7.
6698,Salini,for,PPE,2017-07-05_7.
6370,Sander,for,PPE,2017-07-05_7.
6259,Sarvamaa,for,PPE,2017-07-05_7.
5877,Saudargas,for,PPE,2017-07-05_7.
6619,Schmidt,for,PPE,2017-07-05_7.
5265,Schöpflin,for,PPE,2017-07-05_7.
6636,Schreijer-Pierik,for,PPE,2017-07-05_7.
6443,Schulze,for,PPE,2017-07-05_7.
5345,Schwab,for,PPE,2017-07-05_7.
5111,Siekierski,for,PPE,2017-07-05_7.
5781,Sógor,for,PPE,2017-07-05_7.
6341,Šojdrová,for,PPE,2017-07-05_7.
4705,Sommer,for,PPE,2017-07-05_7.
6663,Spyraki,for,PPE,2017-07-05_7.
6547,Štefanec,for,PPE,2017-07-05_7.
6333,Štětina,for,PPE,2017-07-05_7.
5778,Stolojan,for,PPE,2017-07-05_7.
6301,Šuica,for,PPE,2017-07-05_7.
6680,Šulin,for,PPE,2017-07-05_7.
5143,Szájer,for,PPE,2017-07-05_7.
6528,Szejnfeld,for,PPE,2017-07-05_7.
5949,Thun und Hohenstein,for,PPE,2017-07-05_7.
5783,Tőkés,for,PPE,2017-07-05_7.
6733,Tolić,for,PPE,2017-07-05_7.
6681,Tomc,for,PPE,2017-07-05_7.
6717,Ţurcanu,for,PPE,2017-07-05_7.
5600,Vaidere,for,PPE,2017-07-05_7.
6638,Valcárcel Siso,for,PPE,2017-07-05_7.
5714,Vălean,for,PPE,2017-07-05_7.
6706,Vandenkendelaere,for,PPE,2017-07-05_7.
5930,Verheyen,for,PPE,2017-07-05_7.
6356,Virkkunen,for,PPE,2017-07-05_7.
5934,Voss,for,PPE,2017-07-05_7.
6664,Vozemberg-Vrionidi,for,PPE,2017-07-05_7.
5947,Wałęsa,for,PPE,2017-07-05_7.
6542,Wenta,for,PPE,2017-07-05_7.
4643,Wieland,for,PPE,2017-07-05_7.
5937,Winkler Hermann,for,PPE,2017-07-05_7.
5782,Winkler Iuliu,for,PPE,2017-07-05_7.
5189,Záborská,for,PPE,2017-07-05_7.
6665,Zagorakis,for,PPE,2017-07-05_7.
6344,Zdechovský,for,PPE,2017-07-05_7.
6532,Zdrojewski,for,PPE,2017-07-05_7.
5935,Zeller,for,PPE,2017-07-05_7.
6734,Zovko,for,PPE,2017-07-05_7.
6094,Zver,for,PPE,2017-07-05_7.
5420,Zwiefka,for,PPE,2017-07-05_7.
6644,Pagazaurtundúa Ruiz,against,ALDE,2017-07-05_7.
6468,Adinolfi,against,EFDD,2017-07-05_7.
6445,Agea,against,EFDD,2017-07-05_7.
6480,Aiuto,against,EFDD,2017-07-05_7.
6411,Beghin,against,EFDD,2017-07-05_7.
6430,Borrelli,against,EFDD,2017-07-05_7.
6446,Castaldo,against,EFDD,2017-07-05_7.
6494,Corrao,against,EFDD,2017-07-05_7.
6472,D'Amato,against,EFDD,2017-07-05_7.
6413,Evi,against,EFDD,2017-07-05_7.
6470,Ferrara,against,EFDD,2017-07-05_7.
6524,Iwaszkiewicz,against,EFDD,2017-07-05_7.
6497,Moi,against,EFDD,2017-07-05_7.
5875,Paksas,against,EFDD,2017-07-05_7.
6482,Pedicini,against,EFDD,2017-07-05_7.
6462,von Storch,against,EFDD,2017-07-05_7.
6447,Tamburrano,against,EFDD,2017-07-05_7.
6412,Valli,against,EFDD,2017-07-05_7.
6695,Zullo,against,EFDD,2017-07-05_7.
6555,Atkinson,against,ENF,2017-07-05_7.
6741,Elissen,against,ENF,2017-07-05_7.
6630,de Graaff,against,ENF,2017-07-05_7.
6533,Marusik,against,ENF,2017-07-05_7.
6634,Stuger,against,ENF,2017-07-05_7.
6228,Zijlstra,against,ENF,2017-07-05_7.
6541,Żółtek,against,ENF,2017-07-05_7.
6723,Benito Ziluaga,against,GUE/NGL,2017-07-05_7.
6604,Björk,against,GUE/NGL,2017-07-05_7.
6595,Boylan,against,GUE/NGL,2017-07-05_7.
6598,Carthy,against,GUE/NGL,2017-07-05_7.
5237,Chountis,against,GUE/NGL,2017-07-05_7.
6660,Chrysogonos,against,GUE/NGL,2017-07-05_7.
6701,Couso Permuy,against,GUE/NGL,2017-07-05_7.
6496,De Masi,against,GUE/NGL,2017-07-05_7.
6501,Eck,against,GUE/NGL,2017-07-05_7.
6024,Ernst,against,GUE/NGL,2017-07-05_7.
5886,Ferreira,against,GUE/NGL,2017-07-05_7.
6597,Flanagan,against,GUE/NGL,2017-07-05_7.
6693,Forenza,against,GUE/NGL,2017-07-05_7.
6702,González Peñas,against,GUE/NGL,2017-07-05_7.
6076,Hadjigeorgiou,against,GUE/NGL,2017-07-05_7.
6023,Händel,against,GUE/NGL,2017-07-05_7.
6628,Hazekamp,against,GUE/NGL,2017-07-05_7.
6657,Juaristi Abaunz,against,GUE/NGL,2017-07-05_7.
6313,Kari,against,GUE/NGL,2017-07-05_7.
5450,Kohlíček,against,GUE/NGL,2017-07-05_7.
5039,Konečná,against,GUE/NGL,2017-07-05_7.
6713,Kouloglou,against,GUE/NGL,2017-07-05_7.
6675,Kuneva,against,GUE/NGL,2017-07-05_7.
6369,Kyllönen,against,GUE/NGL,2017-07-05_7.
6653,López Bermejo,against,GUE/NGL,2017-07-05_7.
6026,Lösing,against,GUE/NGL,2017-07-05_7.
6692,Maltese,against,GUE/NGL,2017-07-05_7.
5044,Maštálka,against,GUE/NGL,2017-07-05_7.
5992,Matias,against,GUE/NGL,2017-07-05_7.
6310,Michels,against,GUE/NGL,2017-07-05_7.
6643,Mineur,against,GUE/NGL,2017-07-05_7.
6599,Ní Riada,against,GUE/NGL,2017-07-05_7.
6250,Omarjee,against,GUE/NGL,2017-07-05_7.
5596,Papadimoulis,against,GUE/NGL,2017-07-05_7.
